tSNE1,tSNE2,Cluster
9.56687,0.7727966,2
6.7976437,-5.858053,2
11.991123,1.446946,2
6.938942,-5.4152493,2
9.680821,1.1666746,2
6.9133134,-5.2451425,2
12.206453,2.0370502,2
6.279259,-6.4026446,2
12.8097725,3.7319298,2
6.8182716,-4.6692514,2
12.446295,4.083869,2
6.1306343,-6.8661504,2
12.08953,3.7479162,2
6.390701,-5.2175674,2
11.769017,2.1675012,2
6.3341827,-5.494137,2
9.940243,1.647151,2
6.875333,-4.277501,2
10.8012905,3.389465,2
5.854119,-6.801035,2
9.887381,1.7826927,2
6.2169805,-4.6864233,2
12.370756,2.7403085,2
6.224908,-4.380664,2
11.924144,3.3968046,2
5.7255073,-5.409233,2
10.15157,2.8824239,2
6.16844,-3.0678086,2
10.130689,2.476536,2
5.5903516,-5.851875,2
12.713244,3.4272432,2
5.630585,-4.582397,2
12.567227,3.1026876,2
5.1933513,-6.1391764,2
11.702866,3.1121519,2
5.247796,-5.2296104,2
11.260075,2.7881408,2
5.54966,-4.048178,2
10.297177,2.6580021,2
5.0480685,-4.5545673,2
9.604649,6.706995,2
4.9859486,-6.096751,2
9.047922,4.052668,2
5.3193035,-1.9099116,2
9.99696,3.6837876,2
5.069733,-2.7416449,2
7.8101745,6.2325063,2
5.63289,0.12988327,2
6.0799537,0.5405887,2
6.155916,0.6252743,2
7.536866,5.8851824,2
5.2436576,-1.448027,2
5.1585913,-0.54068077,2
7.973967,7.5845075,0
7.31351,5.3444066,2
7.5987906,4.737941,2
7.255858,6.0456395,2
8.374579,8.757917,0
4.6589355,0.0048146313,2
6.8894243,6.1259933,0
8.11875,9.3231,0
3.8698232,-0.6143223,2
7.792519,8.874035,0
7.4649816,7.166223,0
7.4523544,8.476345,0
3.4610207,-0.9333696,2
5.8554463,4.6216273,2
7.5857854,9.093567,0
3.540067,-0.883743,2
5.0449963,0.7874108,2
7.696985,9.554265,0
6.240283,5.3050046,2
6.8954306,8.157458,0
7.2372193,8.043913,0
6.290746,8.216348,0
3.1898515,0.5056182,2
4.8694997,5.039518,0
4.565311,4.4170737,0
2.931678,0.37844887,2
5.3936887,5.9885345,0
6.212001,7.874942,0
4.3223786,3.1893437,2
6.6525884,9.263415,0
5.018579,5.5485735,0
2.8132846,-0.2571667,2
5.216844,5.90837,0
5.3345413,8.022671,0
2.4009528,0.15377004,2
3.4335666,1.8113711,2
4.698594,6.500841,0
6.626209,10.012052,0
0.8756204,1.8433695,0
4.2258353,6.51588,0
2.6432793,5.056187,0
1.85768,3.4650912,0
2.154973,0.85443586,2
4.0881114,6.112514,0
2.2516487,1.3456843,2
3.5751278,6.07006,0
1.6380199,1.1384251,2
1.1150801,2.311148,0
3.930675,6.7499986,0
6.4270306,10.420469,0
1.994288,0.554803,2
3.9374797,7.6586347,0
1.1455929,2.0104408,0
5.816341,9.88219,0
4.420192,7.351305,0
5.3485494,9.987585,0
5.655239,9.6958685,0
5.895925,9.871954,0
1.5247893,0.32503694,2
1.9983879,4.83267,0
1.0951904,1.4380469,0
0.8974322,1.0837495,0
1.1160165,0.8521346,2
5.000091,9.568297,0
3.5818703,7.999638,0
2.9824383,6.8014264,0
3.54417,7.969121,0
1.1540326,0.17916308,2
1.4997497,5.006464,0
-1.0066463,1.9273669,0
-16.716286,-10.354592,1
-0.6806735,3.8178039,0
-15.15971,-9.779801,1
0.057752106,6.3382006,0
-17.040342,-10.858658,1
-6.1233025,7.5391417,0
-14.888503,-9.435645,1
-5.607067,7.002228,0
-14.910836,-9.369611,1
-0.24753265,3.6575077,0
-14.006902,-9.53748,1
-4.446507,5.2522182,0
-16.075003,-10.486474,1
-5.42305,6.820712,0
-14.3293915,-9.756196,1
-4.1393714,5.2591376,0
-14.228713,-9.707968,1
-6.014971,7.5185485,0
-16.641489,-11.30578,1
0.046275884,3.7179651,0
-15.744075,-10.856453,1
-4.0904155,5.7884626,0
-16.828365,-11.839285,1
-0.9750008,7.1892023,0
-14.254443,-10.322565,1
-3.5221317,6.8275886,0
-16.098597,-11.397702,1
-4.5006638,7.2614613,0
-16.142569,-10.923075,1
-4.0745416,7.357028,0
-14.745666,-10.285594,1
-4.954374,7.471372,0
-15.7211075,-11.486325,1
-5.1481085,6.254867,0
-14.734228,-10.698508,1
-4.9910107,6.0586095,0
-13.960686,-10.404429,1
-1.237811,7.5406213,0
-15.150326,-11.132916,1
-4.4503646,5.3713627,0
-16.203014,-11.943143,1
-3.6326578,8.135608,0
-14.113442,-11.149666,1
-4.034421,7.909305,0
-16.107153,-12.527377,1
-3.2169607,7.940512,0
-13.009682,-11.077346,1
-4.478572,7.70341,0
-13.947046,-11.53016,1
-4.413612,6.847809,0
-15.739874,-12.442359,1
-5.055347,8.243778,0
-15.026587,-12.122446,1
-5.4052987,8.465519,0
-13.333574,-11.386848,1
-5.34637,8.836377,0
-15.275017,-12.848955,1
-3.1588821,9.056099,0
-14.5832615,-12.889652,1
-4.468937,8.930881,0
-14.760902,-13.124297,1
-2.9041004,9.238063,0
-15.30082,-13.528137,1
-4.562363,9.320207,0
-13.12733,-12.522028,1
-4.143356,9.457533,0
-14.249363,-13.375257,1
-3.6454887,9.505617,0
-13.192694,-12.766041,1
-4.5755115,10.2474785,0
-14.19585,-14.031163,1
-4.2673063,10.443683,0
-13.44391,-13.966221,1
-3.9718482,10.722191,0
-13.212377,-14.121465,1
-4.2059093,10.981618,0
-13.296645,-14.40733,1
